,chocolate_color,bake_time,sugar,flour,margerine,chocolate,vanilla_flavour,almonds,density,brown_sugar,weight,cinnamon,taste
0,0,14.182,110.667,118.072,101.534,106.478,0.451,14.401,0.619,41.085,6.938,3.623,5
1,0,13.455,110.0,125.301,110.429,105.814,0.955,21.083,0.668,38.76,7.191,1.884,6
2,1,9.455,129.333,109.036,102.301,107.475,0.122,6.797,0.621,91.473,7.865,7.391,4
3,0,13.273,108.0,114.458,109.049,105.814,0.469,10.829,0.623,31.008,5.927,3.188,6
4,1,19.091,130.0,134.337,102.761,113.953,0.503,5.3,0.693,36.434,9.551,5.217,7
5,0,14.727,113.333,146.988,117.638,105.316,0.903,17.857,0.717,20.155,6.854,1.014,5
6,0,11.455,115.333,117.47,110.276,106.811,0.556,15.783,0.62,45.736,7.36,4.444,6
7,0,12.364,108.0,129.518,101.534,109.302,0.278,15.783,0.627,38.76,7.528,1.739,6
8,0,10.727,118.667,116.265,108.742,103.156,0.677,14.516,0.592,50.388,6.517,5.217,6
9,0,11.455,109.333,119.88,101.994,104.485,0.625,11.982,0.545,41.86,8.034,6.377,6
10,0,12.727,111.333,119.88,101.687,104.651,0.59,12.327,0.587,39.535,8.708,3.768,6
11,0,13.455,114.667,119.88,118.712,105.316,1.024,18.664,0.683,29.457,7.865,2.609,5
12,1,15.636,133.333,109.639,102.147,118.439,0.035,0.115,0.643,38.76,8.034,4.638,6
13,0,14.364,106.667,117.47,100.613,104.485,0.434,10.945,0.556,28.682,6.264,5.362,6
14,1,29.455,140.333,145.783,104.755,115.116,0.087,4.263,0.81,17.829,8.876,4.638,7
15,0,14.727,108.0,129.518,101.074,103.654,0.122,10.484,0.59,26.357,8.371,4.493,5
16,0,13.455,114.0,120.482,104.448,107.475,0.434,21.083,0.65,54.264,8.034,3.478,5
17,0,12.727,116.0,116.265,106.595,104.153,0.295,13.364,0.587,49.612,9.129,6.522,6
18,0,14.0,116.667,138.554,119.325,107.807,0.191,11.406,0.695,25.581,6.433,1.739,5
19,1,24.0,120.667,129.518,102.914,111.794,0.122,1.613,0.733,27.132,10.056,3.333,6
20,0,13.273,112.667,107.229,101.074,105.316,1.059,15.207,0.596,37.984,6.685,2.899,6
21,1,17.636,140.0,106.627,103.374,113.953,0.174,4.378,0.727,45.736,7.781,2.174,6
22,0,12.0,115.333,116.265,102.607,105.482,0.312,13.134,0.546,46.512,6.601,6.812,7
23,0,13.818,113.333,121.687,100.613,104.319,0.122,7.373,0.554,28.682,7.022,5.942,6
24,0,10.727,105.333,123.494,100.613,103.156,0.677,10.945,0.586,65.891,8.118,3.768,6
25,0,14.364,114.667,120.482,103.221,105.814,0.573,11.751,0.576,49.612,7.612,6.957,8
26,1,14.545,141.333,100.0,101.994,111.13,0.174,3.226,0.706,61.24,7.865,2.029,5
27,1,16.909,141.333,114.458,102.914,136.047,0.069,1.037,0.731,46.512,8.202,1.449,6
28,0,13.636,121.333,110.241,118.865,103.987,1.007,20.737,0.701,27.907,7.275,2.029,5
29,0,12.0,109.333,116.867,100.767,104.153,0.799,9.677,0.529,38.76,6.348,6.667,6
30,0,13.455,110.667,117.47,102.147,105.814,0.243,10.369,0.6,39.535,8.539,3.478,8
31,0,14.364,123.333,122.289,106.135,103.156,0.278,12.442,0.575,39.535,6.77,7.536,6
32,0,12.727,110.667,115.06,130.061,112.292,0.59,17.396,0.744,34.884,7.36,1.594,5
33,0,13.091,110.0,118.072,106.135,108.472,0.486,17.051,0.583,39.535,7.275,6.087,8
34,0,12.364,111.667,114.458,101.687,104.983,2.387,30.645,0.643,62.791,7.612,2.319,4
35,0,16.182,108.0,129.518,101.687,104.817,0.642,18.548,0.631,25.581,6.264,3.043,6
36,1,15.818,116.667,126.506,101.38,105.482,0.087,0.691,0.66,48.837,8.287,3.913,5
37,0,12.182,122.0,102.41,101.074,104.485,0.382,13.249,0.6,40.31,8.287,2.754,6
38,0,15.455,109.333,114.458,106.135,105.814,0.66,17.627,0.608,20.93,5.506,5.072,6
39,1,13.091,143.667,101.205,111.196,118.771,1.163,13.594,0.737,58.14,7.612,2.754,5
40,1,20.545,118.0,131.928,103.067,110.133,0.069,1.152,0.695,33.333,8.624,4.348,8
41,0,12.0,110.667,116.867,105.138,104.817,1.042,14.747,0.584,44.961,7.697,4.783,7
42,0,15.091,110.667,118.072,101.227,105.316,0.243,11.06,0.612,41.86,7.612,3.478,6
43,0,12.545,110.0,118.072,101.84,103.987,0.26,9.793,0.567,43.411,6.517,5.507,6
44,0,14.182,107.333,123.494,100.92,104.485,0.538,9.101,0.59,34.109,7.36,3.623,5
45,1,13.636,131.333,109.036,102.454,111.13,0.312,3.917,0.673,53.488,8.118,3.043,5
46,0,16.0,119.333,121.687,100.613,104.153,0.278,10.023,0.567,24.806,5.843,5.362,8
47,0,14.0,119.333,140.361,115.184,105.98,0.833,17.166,0.7,34.109,6.854,1.014,5
48,0,16.0,117.333,117.47,107.055,111.13,0.312,9.908,0.582,17.829,6.433,6.522,6
49,0,15.455,112.0,119.88,114.877,104.983,1.25,23.733,0.689,16.279,7.275,2.174,6
50,0,12.909,112.667,111.446,109.202,105.98,1.684,19.47,0.626,34.109,6.011,3.043,6
51,0,13.636,111.333,120.482,101.074,104.319,0.451,8.756,0.564,35.659,6.854,6.087,6
52,0,13.091,111.333,130.723,111.35,106.312,1.042,21.083,0.672,38.76,7.275,1.739,5
53,1,14.364,131.333,101.807,101.534,110.465,0.278,4.147,0.664,50.388,7.191,1.449,4
54,0,13.455,115.333,125.301,109.663,106.146,0.851,19.24,0.668,36.434,7.022,1.449,5
55,0,16.727,131.333,121.084,122.929,107.973,0.599,41.532,0.75,24.806,8.455,4.348,3
56,0,14.545,111.333,121.687,102.224,106.811,0.521,10.829,0.594,36.434,6.854,4.058,6
57,0,14.727,104.0,144.578,101.534,104.319,0.347,13.825,0.619,41.86,6.938,3.188,6
58,1,15.273,130.0,119.88,102.761,111.794,0.399,15.899,0.682,44.961,8.202,2.174,5
59,0,14.364,112.0,118.675,101.534,105.15,0.66,19.24,0.59,36.434,7.444,4.928,6
60,1,19.455,120.0,130.12,102.761,115.781,0.087,0.806,0.68,38.76,8.624,5.217,7
61,0,12.545,109.333,119.88,101.687,105.316,1.146,18.203,0.61,46.512,7.865,3.478,6
62,0,14.0,107.333,116.867,104.601,103.987,0.26,8.295,0.614,14.729,9.719,4.928,6
63,1,16.909,136.667,116.867,103.221,114.452,0.278,7.258,0.697,41.86,8.455,3.188,6
64,0,16.182,109.333,122.892,121.779,107.475,0.538,13.825,0.752,38.76,7.36,2.464,5
65,0,12.727,109.333,129.518,110.583,107.475,0.712,16.705,0.648,42.636,7.528,3.043,6
66,0,16.545,108.0,124.096,100.767,106.146,0.521,11.521,0.593,21.705,6.096,3.623,4
67,1,12.545,131.333,109.036,101.84,111.296,0.434,3.341,0.616,46.512,10.056,5.217,6
68,0,11.636,115.333,119.88,100.92,104.485,0.382,10.714,0.587,35.659,8.202,3.623,6
69,1,15.273,126.667,140.964,101.687,167.442,0.226,2.995,0.682,28.682,12.079,1.594,6
70,0,13.091,114.667,115.06,111.35,104.485,0.347,13.594,0.626,26.357,6.348,4.058,6
71,0,14.909,121.333,116.265,107.055,103.488,0.538,10.945,0.589,38.76,8.371,6.232,7
72,0,10.182,125.0,110.843,101.994,104.485,0.556,11.521,0.507,37.984,10.14,8.696,7
